,country_code,category,subcategory,source,model,name,unit,size_class,occupancy,capacity,range,fuel_type,co2e_unit,co2e,seating,comment
0,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,coal (domestic),kWh,,,,,coal,kg/kWh,0.35,,
1,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,natural gas,kWh,,,,,gas,kg/kWh,0.18,,
2,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,LPG,kWh,,,,,liquid_gas,kg/kWh,0.21,,
3,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,fuel oil,kWh,,,,,oil,kg/kWh,0.27,,
4,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,wood pellets,kWh,,,,,pellet,kg/kWh,0.01074,,
5,global,heating,,"UK, Department for Business, Energy & Industrial Strategy",,wood chips,kWh,,,,,woodchips,kg/kWh,0.01074,,
6,AF,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.12410,bla,bla
7,AL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00000,,
8,DZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.44513,,
9,AS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
10,AO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.18537,,
11,AG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.74704,,
12,AR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.28810,,
13,AM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.18481,,
14,AW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.66452,,
15,AU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.77000,,
16,AT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.14723,,
17,AZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.52120,,
18,BS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
19,BH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42529,,
20,BD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.56719,,
21,BB,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.73307,,
22,BY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.35708,,
23,BE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.13882,,
24,BZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.50149,,
25,BJ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.75930,,
26,BT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00000,,
27,BO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.26967,,
28,BA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.97080,,
29,BW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.85966,,
30,BR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.12950,,
31,VG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
32,BN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.66003,,
33,BG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.55371,,
34,BF,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.68818,,
35,BI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.24284,,
36,KH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.41038,,
37,CM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.29822,,
38,CA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.11000,,
39,CV,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.66906,,
40,KY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.77060,,
41,CF,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00000,,
42,TD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.76675,,
43,CL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.32345,,
44,CN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.55720,,
45,CO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.14640,,
46,KM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
47,CG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.35343,,
48,CK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.47539,,
49,CR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.01573,,
50,CI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.40343,,
51,HR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.25469,,
52,CU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.63716,,
53,CY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.65493,,
54,CZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.76413,,
55,CD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00215,,
56,DK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.18731,,
57,DJ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
58,DM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.60588,,
59,DO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.57048,,
60,EC,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.19018,,
61,EG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.46029,,
62,SV,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.16363,,
63,GQ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.54681,,
64,ER,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.77470,,
65,EE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.75353,,
66,SZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.05916,,
67,ET,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00059,,
68,FK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.39616,,
69,FO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.49048,,
70,FJ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.28849,,
71,FI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.09530,,
72,FR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.06207,,
73,GF,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.26934,,
74,PF,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53198,,
75,GA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.43964,,
76,GM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
77,GE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.10128,,
78,DE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.44912,,
79,GH,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.33563,,
80,GR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.37840,,
81,GL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.13205,,
82,GD,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
83,GP,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.61058,,
84,GU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.75748,,
85,GT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.29645,,
86,GN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.21660,,
87,GW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
88,GY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.70497,,
89,HT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.68827,,
90,HN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.38705,,
91,HK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.68000,,
92,HK,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.39000,,
93,HU,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.27037,,
94,IS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00017,,
95,IN,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.71320,,
96,ID,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.78480,,
97,IR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.45473,,
98,IQ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.46178,,
99,IE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.35216,,
100,IL,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.51764,,
101,IT,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.36425,,
102,JM,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53139,,
103,JP,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.46150,,
104,JO,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.35336,,
105,KZ,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.64995,,
106,KE,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.08078,,
107,KI,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.79231,,
108,KW,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.42512,,
109,KG,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.08876,,
110,LA,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.23817,,
111,LV,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.14807,,
112,LB,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.62887,,
113,LS,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.00000,,
114,LR,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.33587,,
115,LY,electricity,,Carbon Footprint Ltd,,Total production fuel mix factor,kWh,,,,,production fuel mix,kg/kWh,0.53136,,
